轮播频道,#genre#
还珠格格,http://39.153.130.167:35455/huya/30080241
创世纪,http://39.153.130.167:35455/huya/29465852
笑傲江湖,http://39.153.130.167:35455/huya/26355790
倚天屠龙记,http://39.153.130.167:35455/huya/11342403
雪山飞狐,http://39.153.130.167:35455/huya/23734176
沈腾电影,http://39.153.130.167:35455/huya/11601968
黄渤电影,http://39.153.130.167:35455/huya/11352876
徐峥电影,http://39.153.130.167:35455/huya/11602043
周星驰电影,http://39.153.130.167:35455/huya/11342412

亮剑,http://live.ottiptv.cc/huya/30080238
民兵葛二蛋,http://live.ottiptv.cc/huya/11602072
鹿鼎记,http://live.ottiptv.cc/huya/23650774
新鹿鼎记,http://live.ottiptv.cc/huya/11342388
三国演义,http://live.ottiptv.cc/huya/11602081
新三国演义,http://live.ottiptv.cc/huya/11352944
水浒传,http://live.ottiptv.cc/huya/26355860
新水浒传,http://live.ottiptv.cc/huya/11342384
西游记,http://live.ottiptv.cc/huya/20985836
封神榜,http://live.ottiptv.cc/huya/20432237
寻秦记,http://live.ottiptv.cc/huya/30080146
大宋提刑官,http://live.ottiptv.cc/huya/26355856
家有儿女,http://live.ottiptv.cc/huya/11352872
问心,http://live.ottiptv.cc/huya/11352890
你是我的荣耀,http://live.ottiptv.cc/huya/11352920
与凤行,http://live.ottiptv.cc/huya/26355866
我和僵尸有个约会,http://live.ottiptv.cc/huya/21059571
美人心计,http://live.ottiptv.cc/huya/26355837
延禧攻略,http://live.ottiptv.cc/huya/26355864
读心专家,http://live.ottiptv.cc/huya/30590779
如懿传,http://live.ottiptv.cc/huya/29465868
爱情公寓,http://live.ottiptv.cc/huya/11336726
还珠格格,http://live.ottiptv.cc/huya/30080241
创世纪,http://live.ottiptv.cc/huya/29465852
笑傲江湖,http://live.ottiptv.cc/huya/26355790
倚天屠龙记,http://live.ottiptv.cc/huya/11342403
雪山飞狐,http://live.ottiptv.cc/huya/23734176
沈腾电影,http://live.ottiptv.cc/huya/11601968
黄渤电影,http://live.ottiptv.cc/huya/11352876
徐峥电影,http://live.ottiptv.cc/huya/11602043
周星驰电影,http://live.ottiptv.cc/huya/11342412

林正英电影,http://8.155.43.98:35455/yy/1351505899
狂飙,http://8.155.43.98:35455/yy/1354936131
插翅难逃,http://8.155.43.98:35455/yy/23402146
新白娘子传奇,http://8.155.43.98:35455/yy/1354490667
康熙微服私访记,http://8.155.43.98:35455/yy/1352811698
射雕英雄传83版,http://8.155.43.98:35455/yy/1354210357
神雕侠侣,http://8.155.43.98:35455/yy/1351762426
天龙八部,http://8.155.43.98:35455/yy/1351814644
隋唐英雄传,http://8.155.43.98:35455/yy/1352475619

林正英电影,http://222.186.39.21:35466/yy/1351505899
狂飙,http://222.186.39.21:35466/yy/1354936131
插翅难逃,http://222.186.39.21:35466/yy/23402146
新白娘子传奇,http://222.186.39.21:35466/yy/1354490667
康熙微服私访记,http://222.186.39.21:35466/yy/1352811698
射雕英雄传83版,http://222.186.39.21:35466/yy/1354210357
神雕侠侣,http://222.186.39.21:35466/yy/1351762426
天龙八部,http://222.186.39.21:35466/yy/1351814644
隋唐英雄传,http://222.186.39.21:35466/yy/1352475619

林正英电影,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1351505899
狂飙,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1354936131
插翅难逃,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/23402146
新白娘子传奇,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1354490667
康熙微服私访记,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1352811698
射雕英雄传83版,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1354210357
神雕侠侣,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1351762426
天龙八部,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1351814644
隋唐英雄传,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1352475619

4K测试,#genre#
湖南4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
苏州4k,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4k,https://event.pull.hebtv.com:443/live/live101.m3u8
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de$LR•IPV4

央视移动源,#genre#
CCTV1综合,http://wfenf.x3322.net:7788/608807420
CCTV2财经,http://wfenf.x3322.net:7788/631780532
CCTV3综艺,http://wfenf.x3322.net:7788/624878271
CCTV4中文国际,http://wfenf.x3322.net:7788/631780421
CCTV5体育,http://wfenf.x3322.net:7788/641886683
CCTV5+体育赛事,http://wfenf.x3322.net:7788/641886773
CCTV6电影,http://wfenf.x3322.net:7788/624878396
CCTV7国防军事,http://wfenf.x3322.net:7788/673168121
CCTV8电视剧,http://wfenf.x3322.net:7788/624878356
CCTV9纪录,http://wfenf.x3322.net:7788/673168140
CCTV10科教,http://wfenf.x3322.net:7788/624878405
CCTV11戏曲,http://wfenf.x3322.net:7788/667987558
CCTV12社会与法,http://wfenf.x3322.net:7788/673168185
CCTV13新闻,http://wfenf.x3322.net:7788/608807423
CCTV14少儿,http://wfenf.x3322.net:7788/624878440
CCTV15音乐,http://wfenf.x3322.net:7788/673168223
CCTV17农业农村,http://wfenf.x3322.net:7788/673168256
CCTV4欧洲,http://wfenf.x3322.net:7788/608807419
CCTV4美洲,http://wfenf.x3322.net:7788/608807416
CGTN外语纪录,http://wfenf.x3322.net:7788/609006487
CGTN阿拉伯语,http://wfenf.x3322.net:7788/609154345
CGTN西班牙语,http://wfenf.x3322.net:7788/609006450
CGTN法语,http://wfenf.x3322.net:7788/609006476
CGTN俄语,http://wfenf.x3322.net:7788/609006446
老故事,http://wfenf.x3322.net:7788/884121956
发现之旅,http://wfenf.x3322.net:7788/624878970
中学生,http://wfenf.x3322.net:7788/708869532
CGTN,http://wfenf.x3322.net:7788/609017205
东方卫视,http://wfenf.x3322.net:7788/651632648
江苏卫视,http://wfenf.x3322.net:7788/623899368
广东卫视,http://wfenf.x3322.net:7788/608831231
北京卫视,http://wfenf.x3322.net:7788/630287636
辽宁卫视,http://wfenf.x3322.net:7788/630291707
河北卫视,http://wfenf.x3322.net:7788/962042070
江西卫视,http://wfenf.x3322.net:7788/783847495
河南卫视,http://wfenf.x3322.net:7788/790187291
陕西卫视,http://wfenf.x3322.net:7788/738910838
大湾区卫视,http://wfenf.x3322.net:7788/608917627
湖北卫视,http://wfenf.x3322.net:7788/947472496
吉林卫视,http://wfenf.x3322.net:7788/947472500
青海卫视,http://wfenf.x3322.net:7788/947472506
东南卫视,http://wfenf.x3322.net:7788/849116810
海南卫视,http://wfenf.x3322.net:7788/947472502
海峡卫视,http://wfenf.x3322.net:7788/849119120
中国农林卫视,http://wfenf.x3322.net:7788/956904896
兵团卫视,http://wfenf.x3322.net:7788/956923145
宁夏卫视,http://wfenf.x3322.net:7788/738910535
重庆卫视,http://wfenf.x3322.net:7788/738910914
三沙卫视,http://wfenf.x3322.net:7788/961023778
上海新闻综合,http://wfenf.x3322.net:7788/651632657
上视东方影视,http://wfenf.x3322.net:7788/617290047
上海第一财经,http://wfenf.x3322.net:7788/608780988
南京新闻综合频道,http://wfenf.x3322.net:7788/838109047
南京教科频道,http://wfenf.x3322.net:7788/838153729
南京十八频道,http://wfenf.x3322.net:7788/838151753
体育休闲频道,http://wfenf.x3322.net:7788/626064707
江苏城市频道,http://wfenf.x3322.net:7788/626064714
江苏国际,http://wfenf.x3322.net:7788/626064674
江苏教育,http://wfenf.x3322.net:7788/628008321
江苏影视频道,http://wfenf.x3322.net:7788/626064697
江苏综艺频道,http://wfenf.x3322.net:7788/626065193
公共新闻频道,http://wfenf.x3322.net:7788/626064693
盐城新闻综合,http://wfenf.x3322.net:7788/639731825
淮安新闻综合,http://wfenf.x3322.net:7788/639731826
泰州新闻综合,http://wfenf.x3322.net:7788/639731818
连云港新闻综合,http://wfenf.x3322.net:7788/639731715
宿迁新闻综合,http://wfenf.x3322.net:7788/639731832
徐州新闻综合,http://wfenf.x3322.net:7788/639731747
优漫卡通频道,http://wfenf.x3322.net:7788/626064703
江阴新闻综合,http://wfenf.x3322.net:7788/955227979
南通新闻综合,http://wfenf.x3322.net:7788/955227985
宜兴新闻综合,http://wfenf.x3322.net:7788/955227996
溧水新闻综合,http://wfenf.x3322.net:7788/639737327
陕西银龄频道,http://wfenf.x3322.net:7788/956909362
陕西都市青春频道,http://wfenf.x3322.net:7788/956909358
陕西秦腔频道,http://wfenf.x3322.net:7788/956909303
陕西新闻资讯频道,http://wfenf.x3322.net:7788/956909289
财富天下,http://wfenf.x3322.net:7788/956923159
镇江新闻综合,http://wfenf.x3322.net:7788/639731783
海南广播电视总台新闻频道,http://wfenf.x3322.net:7788/962067517
海南广播电视总台自贸频道,http://wfenf.x3322.net:7788/962045226
海南广播电视总台社会与法频道,http://wfenf.x3322.net:7788/962045223
海南广播电视总台文旅频道,http://wfenf.x3322.net:7788/962067526
海南广播电视总台少儿频道,http://wfenf.x3322.net:7788/962067523
赛事最经典,http://wfenf.x3322.net:7788/646596895
体坛名栏汇,http://wfenf.x3322.net:7788/629943305
四海钓鱼,http://wfenf.x3322.net:7788/637444975
陕西体育休闲频道,http://wfenf.x3322.net:7788/956909356
24小时城市联赛轮播台,http://wfenf.x3322.net:7788/915512915
武术世界,http://wfenf.x3322.net:7788/958475359
快乐垂钓,http://wfenf.x3322.net:7788/961930263
建党105周年巡礼,http://wfenf.x3322.net:7788/713600957
经典香港电影,http://wfenf.x3322.net:7788/625703337
新片放映厅,http://wfenf.x3322.net:7788/619495952
CHC影迷电影,http://wfenf.x3322.net:7788/952383261
CHC动作电影,http://wfenf.x3322.net:7788/644368714
CHC家庭影院,http://wfenf.x3322.net:7788/644368373
和美乡途轮播台,http://wfenf.x3322.net:7788/713591450

移动源,#genre#
CCTV1,http://47.104.178.59:3566/608807420
CCTV2,http://47.104.178.59:3566/631780532
CCTV3,http://47.104.178.59:3566/624878271
CCTV4,http://47.104.178.59:3566/631780421
CCTV5,http://47.104.178.59:3566/641886683
CCTV5+,http://47.104.178.59:3566/641886773
CCTV6,http://47.104.178.59:3566/624878396
CCTV7,http://47.104.178.59:3566/673168121
CCTV8,http://47.104.178.59:3566/624878356
CCTV9,http://47.104.178.59:3566/673168140
CCTV10,http://47.104.178.59:3566/624878405
CCTV11,http://47.104.178.59:3566/667987558
CCTV12,http://47.104.178.59:3566/673168185
CCTV13,http://47.104.178.59:3566/608807423
CCTV14,http://47.104.178.59:3566/624878440
CCTV15,http://47.104.178.59:3566/673168223
CCTV17,http://47.104.178.59:3566/673168256
CCTV4欧洲,http://47.104.178.59:3566/608807419
CCTV4美洲,http://47.104.178.59:3566/608807416
CGTN外语纪录,http://47.104.178.59:3566/609006487
CGTN阿拉伯语,http://47.104.178.59:3566/609154345
CGTN西班牙语,http://47.104.178.59:3566/609006450
CGTN法语,http://47.104.178.59:3566/609006476
CGTN俄语,http://47.104.178.59:3566/609006446
老故事,http://47.104.178.59:3566/884121956
发现之旅,http://47.104.178.59:3566/624878970
中学生,http://47.104.178.59:3566/708869532
CGTN,http://47.104.178.59:3566/609017205
赛事最经典,http://47.104.178.59:3566/646596895
体坛名栏汇,http://47.104.178.59:3566/629943305
四海钓鱼,http://47.104.178.59:3566/637444975
陕西体育休闲频道,http://47.104.178.59:3566/956909356
24小时城市联赛轮播台,http://47.104.178.59:3566/915512915
武术世界,http://47.104.178.59:3566/958475359
快乐垂钓,http://47.104.178.59:3566/961930263
东方卫视,http://47.104.178.59:3566/651632648
江苏卫视,http://47.104.178.59:3566/623899368
广东卫视,http://47.104.178.59:3566/608831231
北京卫视,http://47.104.178.59:3566/630287636
辽宁卫视,http://47.104.178.59:3566/630291707
河北卫视,http://47.104.178.59:3566/962042070
江西卫视,http://47.104.178.59:3566/783847495
河南卫视,http://47.104.178.59:3566/790187291
陕西卫视,http://47.104.178.59:3566/738910838
大湾区卫视,http://47.104.178.59:3566/608917627
湖北卫视,http://47.104.178.59:3566/947472496
吉林卫视,http://47.104.178.59:3566/947472500
青海卫视,http://47.104.178.59:3566/947472506
东南卫视,http://47.104.178.59:3566/849116810
海南卫视,http://47.104.178.59:3566/947472502
海峡卫视,http://47.104.178.59:3566/849119120
中国农林卫视,http://47.104.178.59:3566/956904896
兵团卫视,http://47.104.178.59:3566/956923145
宁夏卫视,http://47.104.178.59:3566/738910535
重庆卫视,http://47.104.178.59:3566/738910914
三沙卫视,http://47.104.178.59:3566/961023778
上海新闻综合,http://47.104.178.59:3566/651632657
上视东方影视,http://47.104.178.59:3566/617290047
上海第一财经,http://47.104.178.59:3566/608780988
南京新闻综合频道,http://47.104.178.59:3566/838109047
南京教科频道,http://47.104.178.59:3566/838153729
南京十八频道,http://47.104.178.59:3566/838151753
体育休闲频道,http://47.104.178.59:3566/626064707
江苏城市频道,http://47.104.178.59:3566/626064714
江苏国际,http://47.104.178.59:3566/626064674
江苏教育,http://47.104.178.59:3566/628008321
江苏影视频道,http://47.104.178.59:3566/626064697
江苏综艺频道,http://47.104.178.59:3566/626065193
公共新闻频道,http://47.104.178.59:3566/626064693
盐城新闻综合,http://47.104.178.59:3566/639731825
淮安新闻综合,http://47.104.178.59:3566/639731826
泰州新闻综合,http://47.104.178.59:3566/639731818
连云港新闻综合,http://47.104.178.59:3566/639731715
宿迁新闻综合,http://47.104.178.59:3566/639731832
徐州新闻综合,http://47.104.178.59:3566/639731747
优漫卡通频道,http://47.104.178.59:3566/626064703
江阴新闻综合,http://47.104.178.59:3566/955227979
南通新闻综合,http://47.104.178.59:3566/955227985
宜兴新闻综合,http://47.104.178.59:3566/955227996
溧水新闻综合,http://47.104.178.59:3566/639737327
陕西银龄频道,http://47.104.178.59:3566/956909362
陕西都市青春频道,http://47.104.178.59:3566/956909358
陕西秦腔频道,http://47.104.178.59:3566/956909303
陕西新闻资讯频道,http://47.104.178.59:3566/956909289
财富天下,http://47.104.178.59:3566/956923159
镇江新闻综合,http://47.104.178.59:3566/639731783
海南广播电视总台新闻频道,http://47.104.178.59:3566/962067517
海南广播电视总台自贸频道,http://47.104.178.59:3566/962045226
海南广播电视总台社会与法频道,http://47.104.178.59:3566/962045223
海南广播电视总台文旅频道,http://47.104.178.59:3566/962067526
海南广播电视总台少儿频道,http://47.104.178.59:3566/962067523
经典香港电影,http://47.104.178.59:3566/625703337
抗战经典影片,http://47.104.178.59:3566/617432318
新片放映厅,http://47.104.178.59:3566/619495952
CHC影迷电影,http://47.104.178.59:3566/952383261
CHC动作电影,http://47.104.178.59:3566/644368714
CHC家庭影院,http://47.104.178.59:3566/644368373
和美乡途轮播台,http://47.104.178.59:3566/713591450
南方影视,http://47.104.178.59:3566/614961829
中国航天“逆袭”之路,http://47.104.178.59:3566/713600957
中国天气,http://47.104.178.59:3566/959986621
CETV1,http://47.104.178.59:3566/923287154
CETV2,http://47.104.178.59:3566/923287211
CETV4,http://47.104.178.59:3566/923287339
山东教育,http://47.104.178.59:3566/609154353
熊猫频道01高清,http://47.104.178.59:3566/609158151
熊猫频道1,http://47.104.178.59:3566/608933610
熊猫频道2,http://47.104.178.59:3566/608933640
熊猫频道3,http://47.104.178.59:3566/608934619
熊猫频道4,http://47.104.178.59:3566/608934721
熊猫频道5,http://47.104.178.59:3566/608935104
熊猫频道6,http://47.104.178.59:3566/608935797
熊猫频道7,http://47.104.178.59:3566/609169286
熊猫频道8,http://47.104.178.59:3566/609169287
熊猫频道9,http://47.104.178.59:3566/609169226
熊猫频道10,http://47.104.178.59:3566/609169285
最强综艺趴,http://47.104.178.59:3566/629942228
嘉佳卡通,http://47.104.178.59:3566/614952364
经典动画大集合,http://47.104.178.59:3566/629942219
新动漫,http://47.104.178.59:3566/961930269
新动力量创一流,http://47.104.178.59:3566/713589837
中华特产,http://47.104.178.59:3566/959986618
环球旅游,http://47.104.178.59:3566/958475356
梨园频道,http://47.104.178.59:3566/961930369

咪咕频道,#genre#
CCTV-1,http://222.223.41.27:8888/hls/1/index.m3u8
CCTV-2,http://222.223.41.27:8888/hls/2/index.m3u8
CCTV-3,http://222.223.41.27:8888/hls/3/index.m3u8
CCTV-4,http://222.223.41.27:8888/hls/4/index.m3u8
CCTV-5,http://222.223.41.27:8888/hls/5/index.m3u8
CCTV-6,http://222.223.41.27:8888/hls/6/index.m3u8
CCTV-7,http://222.223.41.27:8888/hls/7/index.m3u8
CCTV-8,http://222.223.41.27:8888/hls/8/index.m3u8
CCTV-9,http://222.223.41.27:8888/hls/9/index.m3u8
CCTV-10,http://222.223.41.27:8888/hls/10/index.m3u8
CCTV-11,http://222.223.41.27:8888/hls/11/index.m3u8
CCTV-12,http://222.223.41.27:8888/hls/12/index.m3u8
CCTV-13,http://222.223.41.27:8888/hls/13/index.m3u8
CCTV-14,http://222.223.41.27:8888/hls/14/index.m3u8
CCTV-15,http://222.223.41.27:8888/hls/15/index.m3u8
老故事,http://wfenf.x3322.net:7788/884121956
发现之旅,http://wfenf.x3322.net:7788/624878970
中学生,http://wfenf.x3322.net:7788/708869532
CGTN,http://wfenf.x3322.net:7788/609017205
东方卫视,http://wfenf.x3322.net:7788/651632648
江苏卫视,http://wfenf.x3322.net:7788/623899368
广东卫视,http://wfenf.x3322.net:7788/608831231
北京卫视,http://wfenf.x3322.net:7788/630287636
辽宁卫视,http://wfenf.x3322.net:7788/630291707
河北卫视,http://wfenf.x3322.net:7788/962042070
江西卫视,http://wfenf.x3322.net:7788/783847495
河南卫视,http://wfenf.x3322.net:7788/790187291
陕西卫视,http://wfenf.x3322.net:7788/738910838
大湾区卫视,http://wfenf.x3322.net:7788/608917627
湖北卫视,http://wfenf.x3322.net:7788/947472496
吉林卫视,http://wfenf.x3322.net:7788/947472500
青海卫视,http://wfenf.x3322.net:7788/947472506
东南卫视,http://wfenf.x3322.net:7788/849116810
海南卫视,http://wfenf.x3322.net:7788/947472502
海峡卫视,http://wfenf.x3322.net:7788/849119120
中国农林卫视,http://wfenf.x3322.net:7788/956904896
兵团卫视,http://wfenf.x3322.net:7788/956923145
宁夏卫视,http://wfenf.x3322.net:7788/738910535
重庆卫视,http://wfenf.x3322.net:7788/738910914
三沙卫视,http://wfenf.x3322.net:7788/961023778
上海新闻综合,http://wfenf.x3322.net:7788/651632657
上视东方影视,http://wfenf.x3322.net:7788/617290047
上海第一财经,http://wfenf.x3322.net:7788/608780988
南京新闻综合频道,http://wfenf.x3322.net:7788/838109047
南京教科频道,http://wfenf.x3322.net:7788/838153729
南京十八频道,http://wfenf.x3322.net:7788/838151753
体育休闲频道,http://wfenf.x3322.net:7788/626064707
江苏城市频道,http://wfenf.x3322.net:7788/626064714
江苏国际,http://wfenf.x3322.net:7788/626064674
江苏教育,http://wfenf.x3322.net:7788/628008321
江苏影视频道,http://wfenf.x3322.net:7788/626064697
江苏综艺频道,http://wfenf.x3322.net:7788/626065193
公共新闻频道,http://wfenf.x3322.net:7788/626064693
盐城新闻综合,http://wfenf.x3322.net:7788/639731825
淮安新闻综合,http://wfenf.x3322.net:7788/639731826
泰州新闻综合,http://wfenf.x3322.net:7788/639731818
连云港新闻综合,http://wfenf.x3322.net:7788/639731715
宿迁新闻综合,http://wfenf.x3322.net:7788/639731832
徐州新闻综合,http://wfenf.x3322.net:7788/639731747
优漫卡通频道,http://wfenf.x3322.net:7788/626064703
江阴新闻综合,http://wfenf.x3322.net:7788/955227979
南通新闻综合,http://wfenf.x3322.net:7788/955227985
宜兴新闻综合,http://wfenf.x3322.net:7788/955227996
溧水新闻综合,http://wfenf.x3322.net:7788/639737327
陕西银龄频道,http://wfenf.x3322.net:7788/956909362
陕西都市青春频道,http://wfenf.x3322.net:7788/956909358
陕西秦腔频道,http://wfenf.x3322.net:7788/956909303
陕西新闻资讯频道,http://wfenf.x3322.net:7788/956909289
财富天下,http://wfenf.x3322.net:7788/956923159
镇江新闻综合,http://wfenf.x3322.net:7788/639731783
海南广播电视总台新闻频道,http://wfenf.x3322.net:7788/962067517
海南广播电视总台自贸频道,http://wfenf.x3322.net:7788/962045226
海南广播电视总台社会与法频道,http://wfenf.x3322.net:7788/962045223
海南广播电视总台文旅频道,http://wfenf.x3322.net:7788/962067526
海南广播电视总台少儿频道,http://wfenf.x3322.net:7788/962067523

组播频道,#genre#
CCTV1,http://222.134.19.49:8090/608807420
CCTV2,http://222.134.19.49:8090/631780532
CCTV3,http://222.134.19.49:8090/624878271
CCTV4,http://222.134.19.49:8090/631780421
CCTV5,http://222.134.19.49:8090/641886683
CCTV5+,http://222.134.19.49:8090/641886773
CCTV6,http://222.134.19.49:8090/624878396
CCTV7,http://222.134.19.49:8090/673168121
CCTV8,http://222.134.19.49:8090/624878356
CCTV9,http://222.134.19.49:8090/673168140
CCTV10,http://222.134.19.49:8090/624878405
CCTV11,http://222.134.19.49:8090/667987558
CCTV12,http://222.134.19.49:8090/673168185
CCTV13,http://222.134.19.49:8090/608807423
CCTV14,http://222.134.19.49:8090/624878440
CCTV15,http://222.134.19.49:8090/673168223
CCTV17,http://222.134.19.49:8090/673168256
CCTV4欧洲,http://222.134.19.49:8090/608807419
CCTV4美洲,http://222.134.19.49:8090/608807416
CGTN外语纪录,http://222.134.19.49:8090/609006487
CGTN阿拉伯语,http://222.134.19.49:8090/609154345
CGTN西班牙语,http://222.134.19.49:8090/609006450
CGTN法语,http://222.134.19.49:8090/609006476
CGTN俄语,http://222.134.19.49:8090/609006446
老故事,http://222.134.19.49:8090/884121956
发现之旅,http://222.134.19.49:8090/624878970
中学生,http://222.134.19.49:8090/708869532
CGTN,http://222.134.19.49:8090/609017205
赛事最经典,http://222.134.19.49:8090/646596895
体坛名栏汇,http://222.134.19.49:8090/629943305
四海钓鱼,http://222.134.19.49:8090/637444975
陕西体育休闲频道,http://222.134.19.49:8090/956909356
24小时城市联赛轮播台,http://222.134.19.49:8090/915512915
武术世界,http://222.134.19.49:8090/958475359
快乐垂钓,http://222.134.19.49:8090/961930263
东方卫视,http://222.134.19.49:8090/651632648
江苏卫视,http://222.134.19.49:8090/623899368
广东卫视,http://222.134.19.49:8090/608831231
北京卫视,http://222.134.19.49:8090/630287636
辽宁卫视,http://222.134.19.49:8090/630291707
河北卫视,http://222.134.19.49:8090/962042070
江西卫视,http://222.134.19.49:8090/783847495
河南卫视,http://222.134.19.49:8090/790187291
陕西卫视,http://222.134.19.49:8090/738910838
大湾区卫视,http://222.134.19.49:8090/608917627
湖北卫视,http://222.134.19.49:8090/947472496
吉林卫视,http://222.134.19.49:8090/947472500
青海卫视,http://222.134.19.49:8090/947472506
东南卫视,http://222.134.19.49:8090/849116810
海南卫视,http://222.134.19.49:8090/947472502
海峡卫视,http://222.134.19.49:8090/849119120
中国农林卫视,http://222.134.19.49:8090/956904896
兵团卫视,http://222.134.19.49:8090/956923145
宁夏卫视,http://222.134.19.49:8090/738910535
